label,resnet18,vgg19,customcnn
Atelectasis,0.7198234495714358,0.5316368229287789,0.5848569307104069
Cardiomegaly,0.8580277400502119,0.4519906108991181,0.626602604933263
Effusion,0.7745835859953607,0.5521509142931154,0.6567467384521188
Infiltration,0.6950996273558979,0.5220528583512263,0.6430760921990295
Mass,0.6619013397669524,0.5018034528266583,0.4945970929491266
Nodule,0.6400585292727266,0.389360039427669,0.5485389765861044
Pneumonia,0.6689469591039389,0.5174375692373102,0.5749492644835541
Pneumothorax,0.7897352573618337,0.5963774478186017,0.6320977254079896
Consolidation,0.6815758152524507,0.556285575962939,0.6657445247086614
Edema,0.7905343089690365,0.6180543222840789,0.7233495395929476
Emphysema,0.7532936963217921,0.5217621868246218,0.5681114757597587
Fibrosis,0.781613710681874,0.5968511981294352,0.7215912671225989
Pleural_Thickening,0.6804824397165753,0.5088671295857521,0.5962251570918147
Hernia,0.84208298524088,0.4565079365079365,0.7137956001113896
